# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1670541400327458816,Sun Jun 18 21:18:01 +0000 2023,0,Shin Tae-young Komentari Absennya Messi di FIFA Matchday Vs Indonesia https://t.co/Pgon1eahgk,1670541400327458816,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/GATRA_com/status/1670541400327458816,202559038,GATRA_com
1669544675907362816,Fri Jun 16 03:17:24 +0000 2023,0,Ada perbedaan pada latihan timnas kali ini dan itu permintaan dari Shin Tae-Young BREAKING NEWS Prilly Nunung Sarapan NA JAEMIN THANK YOU Ratatouille dengan People Power di Van Gogh #ไบร์ทวิน #ANISD https://t.co/xnFb7mkxZ5,1669544675907362816,https://pbs.twimg.com/ext_tw_video_thumb/1669544335900295169/pu/img/msVnOW6X8l-j8WOu.jpg,,in,indonesia,0,0,0,https://x.com/Bola_hari_ini/status/1669544675907362816,1668919583934398464,Bola_hari_ini
1668644850563190787,Tue Jun 13 15:41:48 +0000 2023,0,Prediksi Starting XI Indonesia vs Palestina: Shin Tae-young Turunkan Tim Terbaik #Indonesia #Palestina #MESSI https://t.co/Fl9XIHewf7,1668644850563190787,,,in,,0,0,0,https://x.com/KilasKlaten/status/1668644850563190787,1540000682337398784,KilasKlaten
1663538476032356353,Tue May 30 14:26:03 +0000 2023,0,@erickthohir HBD Coach Shin Tae-Young,1663552354103496704,,erickthohir,in,DKI Jakarta,0,1,0,https://x.com/Belok_dong/status/1663552354103496704,1172676209995657216,Belok_dong
1663180143748349953,Mon May 29 13:47:01 +0000 2023,39,Awalnya Coach Shin Tae-young minta lawan friendly match peringkat FIFA 50 besar tapi ini ngeri banget yang datang Argentina juara dunia. Kaesang Desta dan Raffi Ahmad pasti menunggu pertandingan ini. Lobi keren @Erick Thohir #indonesiavsargentina https://t.co/q1L7YtrwWE,1663180143748349953,https://pbs.twimg.com/media/FxTNhh7agAIJJaB.jpg,,in,"Jakarta, indonesia",0,2,17,https://x.com/misterdetektif/status/1663180143748349953,889895805611409408,misterdetektif
1662515047082627073,Sat May 27 17:44:09 +0000 2023,0,26 Pemain Dipanggil Shin Tae-young untuk Laga Lawan Argentina 4 Orang dari Persib https://t.co/YsUDLJe2x6,1662515047082627073,,,in,"Purwakarta, Jawa Barat",0,0,0,https://x.com/purwakartanews1/status/1662515047082627073,1313012250832109569,purwakartanews1
1820624854305087715,Tue Aug 06 03:46:41 +0000 2024,8,@UpdateBolabola Pelatih striker? Yeom Ki-hoon mengungkapkan perasaannya untuk memulai tantangan baru dengan mengatakan ``Saya berterima kasih kepada kepala Shin Tae-young karena telah memberi saya kesempatan yang baik. Saya akan pergi ke Indonesia dan belajar banyak.'' https://t.co/BKkOBqFjCB,1820667786361790772,,UpdateBolabola,in,,0,1,0,https://x.com/23Terima__kasih/status/1820667786361790772,1566262955930398720,23Terima__kasih
1820000048136253536,Sun Aug 04 07:35:51 +0000 2024,2,@ZonaBulutangkis Susah bro defensifnya Shin Tae-Young ini kek tai,1820000681559769386,,ZonaBulutangkis,in,,0,1,0,https://x.com/JzshinShinegumi/status/1820000681559769386,1559027077831004160,JzshinShinegumi
1817288265046593990,Sat Jul 27 19:57:40 +0000 2024,4,Orang yang tidak bisa menerima kritikan adalah orang yang paling cepat akan hancur . . . ____ BEBAS PUAS Malam Jumat Inisial T Berani TOMORO COFFE Shin Tae-young Indah G Muhammdiyah https://t.co/AksT0FKqAP,1817288265046593990,https://pbs.twimg.com/media/GThOC9gWAAAaEgO.jpg,,in,,0,0,2,https://x.com/ramona8322/status/1817288265046593990,57963209,ramona8322
1817022627963392193,Sat Jul 27 02:52:14 +0000 2024,3,@Kimberley_PS08 @are_inismyname @prabowo @Ndons_Back @Bank_Joee_ @BANGSAygSUJUD @99propaganda @florieliciouss @IrawanRommi @AndreasSolusi @zy_zy_lestary @MIrvanDarwin1 Aku yang meneteskan air mata nih Terharu... Pak Prabowo dan Pak Jokowi memang Presiden citra rasa Bapak kandung yah. Kayak Coach Shin Tae-young emang sudah gesturnya gitu enggak dibuat-buat.,1817030206525440221,,Kimberley_PS08,in,"Jakarta, Indonesia",0,1,0,https://x.com/ImaginarySteady/status/1817030206525440221,2556873745,ImaginarySteady
